za,Name( First Last),Email,Industry,if others? pls specify,Status,Notes,Personalized? ,Member in charge?,,,,,,,,
Under Armour,,corporategiving@underarmour.com,others,,Email Sent,,,Lizna Merani,,,,,,,,
Olympus,,grants-americas@olympus.com,others,,Email Sent,,,Nancy Liu,,,,,,,,
Texas Instruments Incorporated,,giving@ti.com,others,,Email Sent,,,Nancy Liu,,,,,,,,
Verizon,,cathleen.finn@verizon.com,others,,Email Sent,,,Nancy Liu,,,,,,,,
HTC,,HTCSponsorshipRequests@htcinc.net ,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
Dell,,sponsorships@dell.com,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
Dominos,,communitygiving@dominos.com,Food,,Email Sent,,,Paulo Obnial,,,,,,,,
,,,Travel,,Email not sent,,,,,,,,,,,
Cloudflare,,https://www.cloudflare.com/plans/enterprise/contact/,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
iCIMS,,https://www.icims.com/company/contact-us/,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
DataBank,,https://www.databank.com/contact-us/,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Patient Safety Technology Challenge,,https://www.patientsafetytech.com/contact,others,,Email not sent,,,Ethan Chang,,,,,,,,
Stevens Capital Management,,recruiting@scm-lp.com,others,,Email Sent,,,Ethan Chang,,,,,,,,
Uber,,partnerships@uber.com,Travel,,Email not sent,,,Lizna Merani,,,,,,,,
,,,,,,,,,,,,,,,,
Datadog,,info@datadoghq.com,Tech (Software),,Email Sent,,,Vincent Sun,,,,,,,,
Formlabs, ,https://support.formlabs.com/s/contact-support?language=en_US,others,3d printing,Email not sent,Does not support sponsorship,,Vincent Sun,,,,,,,,
schrodinger,,education@schrodinger.com,Tech (Software),,Email Sent,,,Vincent Sun,,,,,,,,
federal Bank of Boston,,inquiries@bos.frb.org,others,Banking,Email Sent,,,Vincent Sun,,,,,,,,
Tatte,,catering@tattebakery.com,others,Bakery,Email Sent,,,Vincent Sun,,,,,,,,
Ace Hardware,,https://acehardwarefoundation.org/contact-us/,others,,Email Sent,,,Paulo Obnial,,,,,,,,
WEEK 4,,,,,,,,,,,,,,,,
PwC,,us_skills-for-society@pwc.com,others,Professional Services / Business advisory,Email Sent,,,Nancy Liu,,,,,,,,
Eastern Bank,,foundation@easternbank.com,others,Bank,Email Sent,,,Nancy Liu,,,,,,,,
General Motors,,GivingBack@gm.com,others,Motor vehicle manufacturer,Email Sent,https://www.gm.com/content/dam/company/docs/us/en/gmcom/company/Charitable-Event-Sponsorship-Guidelines-3.22.18.pdf ,,Nancy Liu,,,,,,,,
Qualcomm,,https://assets.qualcomm.com/Q220-WB-Contact-Us-Corporate-Responsibility.html?corporate_alert=stem ,Tech (Software),"Semiconductors, software... ",Email not sent,,,Nancy Liu,,,,,,,,
Nintendo,,marketingenquiries@nintendo.co.uk,others,Video game,Email Sent,,,Nancy Liu,,,,,,,,
Meet Boston,,msheridan@meetboston.com,others,non-profit,Email Sent,https://www.meetboston.com/partners/current-partners/partner-resources/advertising-and-sponsorship-opportunities/,,Lizna Merani,,,,,,,,
Exxon Mobile,,https://txgulfcoast.exxonmobilpipeline.com/contact,others,energy,Email not sent,,,Vincent Sun,,,,,,,,
Venture for America,,info@ventureforamerica.org,others,startup funding,Email Sent,https://ventureforamerica.org/contact/,,Vincent Sun,,,,,,,,
Echo 3d,,sponsorships@echo3D.com,Tech (Software),,Email Sent,https://www.echo3d.com/about/contact-us,,Vincent Sun,,,,,,,,
CloudyCluster,,sales@cloudycluster.com,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
TACC,,info@tacc.utexas.edu,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Globus,,SUPPORT@GLOBUS.ORG,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
SGCI,,help@sciencegateways.org,others,,Email Sent,,,Ethan Chang,,,,,,,,
Wolfram Language,,https://www.wolfram.com/contact-us/,Tech (Software),,Email Sent,,,Ethan Chang,,,,,,,,
Contrary ,,info@contrary.com,others,Venture capital,Email not sent,,,Vincent Sun,,,,,,,,
Doodash,,https://doordash-920643.workflowcloud.com/forms/117493f0-9e60-4888-b2d4-8c3132bf54b5,others,Food delivery,Email not sent,,,Paulo Obnial,,,,,,,,
General Electric Aerospace ,,philanthropy.inquiries@ge.com,others,,Email Sent,Denied,,Cherilyn Kim,,,,,,,,
Ben & Jerry's,,influencers.us@benjerry.com,Food,,Email Sent,,,Cherilyn Kim,,,,,,,,
Minna Sparkling ,,whatsthetea@drinkminna.com,Food,drink,Email Sent,,,Cherilyn Kim,,,,,,,,
GoDaddy,,brandmarketing@godaddy.com,Tech (Software),domain host,Email Sent,,,Paulo Obnial,,,,,,,,
D.E Shaw,,inquiries@deshaw.com,others,Hedge Fund,Email Sent,,,Paulo Obnial,,,,,,,,
Goldman Sachs,,gs-cd-grants@gs.com,others,,Email Sent,,,paulo Obnial,,,,,,,,
Carvana,,https://www.carvana.com/partner-with-us,others,,Email Sent,,,Paulo Obnial,,,,,,,,
Truist Foundation,,sponsorships@truist.com,others,Bank,Email not sent,,,Lizna Merani,,,,,,,,
Mozilla Foundation,,partners@mozillafoundation.org,Tech (Software),,Email not sent,,,Paulo Obnial,,,,,,,,
First Citizens Bank,,community@firstcitizens.org,others,Bank,Email not sent,https://www.firstcitizens.org/our-info/community-commitment,,Lizna Merani,,,,,,,,
Raising Cane's,,https://www.raisingcanes.com/community-partnerships/,Food,,Email not sent,,,Cherilyn Kim,,,,,,,,
Host Hotel,,charitable.giving@hosthotels.com,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
HydroFlask,,info@hydroflask.com,others,,Email not sent,,,Lizna Merani,,,,,,,,
Evian,,consumerdanonewatersUSA@danone.com,others,,Email Sent,,,Lizna Merani,,,,,,,,
WEEK 5,,,,,,,,WEEK 4,,,,,,,,WEEK 4
Accomplice,,hello@accomplice.co,others,Venture firm,Email Sent,,,Vincent sun,,,,,,,,
Threshold Brands,,"info@thresholdcommunications.com,",others,Heating and plumbing supplies,Email Sent,,,Vincent Sun,,,,,,,,
SK hynix ,,global_newsroom@skhynix.com ,others,Supplier for memory chips ,Email Sent,https://research.skhynix.com/contact_us ,,Nancy Liu,,,,,,,,
ScienceLogic,,pr@sciencelogic.com,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
Ceramic,,https://ceramic.network/contact-us,Tech (Software),,Email Sent,,,Vincent Sun,,,,,,,,
Wayfair,,socialimpact@wayfair.com,others,furniture company,Email Sent,https://www.aboutwayfair.com/apply-for-support,,Paulo Obnial,,,,,,,,
Life Alive,,https://www.lifealive.com/contact-us,Food,,Email Sent,link is to send a request,,Lizna Merani,,,,,,,,
BU CS dept,,metcsapp@bu.edu,others,BU cs department,Email Sent,,,Vincent Sun,,,,,,,,
Wasabi Hot Cloud Storage ,,support@wasabi. com,Tech (Software),,Email Sent,,,Nancy Liu,,,,,,,,
Insomnia Cookies ,,events@insomniacookies.com,Food,,Email Sent,,,Nancy Liu,,,,,,,,
Northern Bottling (pepsi),,https://www.gopepsind.com/donations/donation-request-form,Food,,Email not sent,link is to send a request,,Lizna Merani,,,,,,,,
CyberPower,,sales@cpsww.com,Tech (Software),,Email not sent,,,Nancy Liu,,,,,,,,
Pega,,https://www.pega.com/contact-us,Tech (Software),,Email not sent,,,Vincent Sun,,,,,,,,
Mars,,Mars.Equestrian@effem.com,Food,,Email not sent,https://www.marsequestrian.com/contact-us-equestrian,,Lizna Merani,,,,,,,,
Oreo,,https://contactus.mdlzapps.com/generalinquiryoreo/contact/en-US/,Food,,Email not sent,link is to send a request,,Lizna Merani,,,,,,,,
Celcius,,https://www.celsius.com/contact-us/,Food,,Email not sent,,,Paulo Obnial,,,,,,,,
Monster,,https://www.monsterenergy.com/en-us/contact-us/,Food,,Email not sent,,,Paulo Obnial,,,,,,,,
Pinecone,,https://www.pinecone.io/contact/,Tech (Software),,Email not sent,,,Paulo Obnial,,,,,,,,
DraftKings,,serves@draftkings.com,others,,Email not sent,,,Paulo Obnial,,,,,,,,
Bain and Company,,dan.pinkney@bain.com,others,,Email not sent,"Couldn't find a sponsorship email, but I found a person Boston office email realted to PR/Media relations??",,,,,,,,,,
Burger King,,https://www.burgerking.com.my/Contact/RequestSponsorship,Food,,Email not sent,,,Cherilyn Kim,,,,,,,,
Owala,,https://owalalife.com/pages/contact-us,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
Fairlife,,mediacontacts@fairlife.com,Food,,Email not sent,,,Cherilyn Kim,,,,,,,,
infotech,,https://www.infotechinc.com/community/,Tech (Software),,Email not sent,,,Cherilyn Kim,,,,,,,,
Logitech,,partnerprogram@logitech.com,Tech (Hardware),,Email not sent,,,Cherilyn Kim,,,,,,,,
Robinhood,,support@robinhood.com,others,financial services,Email not sent,,,Ethan Chang,,,,,,,,
Balsamiq,, support@balsamiq.com,Tech (Software),,Email not sent,,,Ethan Chang,,,,,,,,
Atlassian,,https://www.atlassian.com/company/contact/general-inquiries#/,others,,Email not sent,,,Ethan Chang,,,,,,,,
Kinsta,,contact@kinsta.com,Tech (Software),,Email not sent,,,Ethan Chang,,,,,,,,
Recycle Health,,https://www.recyclehealth.org/copy-of-about-recycle-health-1,others,,Email not sent,,,Ethan Chang,,,,,,,,
,,,,,,,,,,,,,,,,
WEEK 6,,,,,,,,,,,,,,,,
US bank,,https://www.usbank.com/about-us-bank/community/corporate-sponsorship/request-form.html,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
C.S. Johnson ,,info@csjohnson.com,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
Willow Tree,,info@willowtreefarm.com,Food,,Email not sent,,,Cherilyn Kim,,,,,,,,
PixelGen Technologies,,hello@pixelgen.com,Tech (Hardware),Health research,Email not sent,,,Vincent Sun,,,,,,,,
Sequera,,https://seqera.io/contact-us/,Tech (Software),Data Analysis,Email not sent,,,Vincent Sun,,,,,,,,
Memverge,,info@MemVerge.com,Tech (Software),Cloud,Email not sent,,,Vincent Sun,,,,,,,,
Ardigen,,hello@ardigen.com,Tech (Software),AI Biotech,Email not sent,,,Vincent Sun,,,,,,,,
Unum,,askunum@unum.com,others,Insurance,Email not sent,,,Vincent Sun,,,,,,,,
Dollar General,,custsvc@dollargeneral.com,others,,Email not sent,615-855-4000 number for sponsorship requests,,Ethan Chang,,,,,,,,
Asurion,,accessibility@asurion.com,others,,Email not sent,,,Ethan Chang,,,,,,,,
BNY Mellon,,https://www.bnymellon.com/us/en/contact-us/business-inquiries.html,others,,Email not sent,,,Ethan Chang,,,,,,,,
BOS,,contact@bosframework.com,others,,Email not sent,,,Ethan Chang,,,,,,,,
Eventbrite,,https://www.eventbrite.com/l/contact-eventbrite-sales/,others,,Email not sent,,,,,,,,,,,
Lego,,donations@america.LEGO.com,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
Target,,CorporateResponsibility@target.com,others,,Email not sent,,,Cherilyn Kim,,,,,,,,
Contrary,,info@contrary.com,others,Investment Firm,Email not sent,,,Paulo Obnial,,,,,,,,
Medallia,,https://www.medallia.com/contact-us/,Tech (Software),,Email not sent,,,Paulo Obnial,,,,,,,,
Quant Co,,info@quantco.com,Tech (Software),,Email not sent,,,Paulo Obnial,,,,,,,,
Hack+,,hello@hackplus.io,others,,Email not sent,,,Nancy Liu,,,,,,,,
ScienceLogic,,sales@sciencelogic.com,others,,Email not sent,,,Nancy Liu,,,,,,,,
CyberSense,,Ralph.Goodwin@IndexEngines.com,Tech (Software),,Email not sent,,,Nancy Liu,,,,,,,,
,,,,,,,,,,,,,,,,
NPower,,grants@npower.org,others,,Email not sent,,,Nancy Liu,,,,,,,,
LaunchCode,,Courtney@LaunchCode.org,others,,Email not sent,https://www.launchcode.org/about,,Nancy Liu,,,,,,,,
,,,,,,,,,,,,,,,,
Week 1 Summer,,,,,,,,,,,,,,,,
Bose,,Joanne_Berthiaume@bose.com,Tech (Hardware),,Email not sent,,,Vincent S,,,,,,,,
Techcrunch,,https://info.techcrunch.com/SponsorshipsInterest.html,others,,Email not sent,,,Vincent S,,,,,,,,
T mobile,,https://intake.koresoftware.com/t-mobile/index.html,others,,Email not sent,,,Vincent S,,,,,,,,
Costco,,CommunityRelations@costco.com,others,,Email not sent,,,Vincent S,,,,,,,,
Fidelity,,sponsorships@bankwithfidelity.com,others,,Email not sent,,,Vincent S,,,,,,,,
